,Station,Latitude,Longitude
0,Adenauerplatz ,52.499722222222225,13.307222222222222
1,Afrikanische Straße ,52.56055555555555,13.334166666666667
2,Alexanderplatz ,52.521388888888886,13.413333333333334
3,Altstadt Spandau ,52.53916666666667,13.205555555555556
4,Alt-Mariendorf ,52.439722222222215,13.3875
5,Alt-Tegel ,52.589444444444446,13.28361111111111
6,Alt-Tempelhof ,52.46611111111111,13.385555555555555
7,Amrumer Straße ,52.54222222222222,13.34888888888889
8,Augsburger Straße ,52.50055555555556,13.336388888888889
9,Bayerischer Platz ,52.48861111111111,13.34
10,Berliner Straße ,52.48722222222222,13.330833333333333
11,Bernauer Straße ,52.5375,13.396666666666667
12,Biesdorf-Süd ,52.499722222222225,13.546388888888888
13,Birkenstraße ,52.532222222222224,13.34138888888889
14,Bismarckstraße ,52.51138888888889,13.304722222222223
15,Blaschkoallee ,52.45166666666667,13.449722222222222
16,Blissestraße ,52.486666666666665,13.321944444444444
17,Boddinstraße ,52.47944444444445,13.425555555555555
18,Borsigwerke ,52.581944444444446,13.290833333333333
19,Brandenburger Tor ,52.51638888888889,13.380833333333333
20,Breitenbachplatz ,52.466944444444444,13.308611111111112
21,Britz-Süd ,52.437777777777775,13.448333333333334
22,Bülowstraße ,52.4975,13.363333333333333
23,Bundesplatz ,52.47888888888889,13.328055555555554
24,Bundestag ,52.519999999999996,13.373055555555556
25,Cottbusser Platz ,52.53388888888889,13.596388888888889
26,Dahlem-Dorf ,52.4575,13.289722222222222
27,Deutsche Oper ,52.511944444444445,13.310555555555556
28,Eberswalder Straße ,52.541666666666664,13.412222222222223
29,Eisenacher Straße ,52.489444444444445,13.350277777777777
30,Elsterwerdaer Platz ,52.505,13.560555555555556
31,Ernst-Reuter-Platz ,52.511944444444445,13.322222222222223
32,Fehrbelliner Platz ,52.49027777777778,13.314166666666667
33,Frankfurter Allee ,52.515,13.474722222222223
34,Frankfurter Tor ,52.51583333333333,13.454166666666666
35,Franz-Neumann-Platz ,52.56388888888888,13.364166666666666
36,Französische Straße ,52.514722222222225,13.389166666666666
37,Freie Universität ,52.45111111111111,13.281944444444445
38,Friedrichsfelde ,52.50611111111111,13.512777777777778
39,Friedrichstraße ,52.52027777777778,13.386944444444444
40,Friedrich-Wilhelm-Platz ,52.471944444444446,13.32861111111111
41,Gesundbrunnen ,52.54861111111111,13.373055555555556
42,Gleisdreieck ,52.498333333333335,13.375277777777779
43,Gneisenaustraße ,52.49138888888889,13.39611111111111
44,Görlitzer Bahnhof ,52.49916666666667,13.428055555555554
45,Grenzallee ,52.46333333333334,13.443888888888889
46,Güntzelstraße ,52.49194444444444,13.330833333333333
47,Halemweg ,52.53666666666666,13.286388888888888
48,Hallesches Tor ,52.49777777777778,13.39111111111111
49,Hansaplatz ,52.51777777777777,13.342222222222222
50,Haselhorst ,52.538888888888884,13.232777777777779
51,Hauptbahnhof ,52.525,13.369444444444445
52,Hausvogteiplatz ,52.51305555555555,13.396666666666667
53,Heidelberger Platz ,52.480000000000004,13.311944444444444
54,Heinrich-Heine-Straße ,52.51027777777778,13.415833333333333
55,Hellersdorf ,52.53666666666666,13.606388888888889
56,Hermannplatz ,52.48722222222222,13.424722222222222
57,Hermannstraße ,52.4675,13.431388888888888
58,Hohenzollernplatz ,52.494166666666665,13.324722222222222
59,Holzhauser Straße ,52.575833333333335,13.296111111111111
60,Hönow ,52.538333333333334,13.633888888888889
61,Innsbrucker Platz ,52.478611111111114,13.34388888888889
62,Jakob-Kaiser-Platz ,52.53666666666666,13.293333333333333
63,Jannowitzbrücke ,52.515,13.418055555555554
64,Johannisthaler Chaussee ,52.42944444444444,13.453055555555554
65,Jungfernheide ,52.530833333333334,13.300833333333333
66,Kaiserdamm ,52.51,13.282222222222224
67,Kaiserin-Augusta-Straße ,52.46,13.384722222222221
68,Karl-Bonhoeffer-Nervenklinik ,52.57833333333333,13.331388888888888
69,Karl-Marx-Straße ,52.476111111111116,13.439166666666667
70,Kaulsdorf-Nord ,52.52111111111111,13.58888888888889
71,Kienberg ,52.52861111111111,13.590555555555556
72,Kleistpark ,52.49055555555556,13.360277777777778
73,Klosterstraße ,52.51611111111111,13.412222222222223
74,Kochstraße ,52.505833333333335,13.390555555555554
75,Konstanzer Straße ,52.493611111111115,13.31
76,Kottbusser Tor ,52.49916666666667,13.418055555555554
77,Krumme Lanke ,52.44333333333333,13.241388888888888
78,Kurfürstendamm ,52.50416666666667,13.333055555555555
79,Kurfürstenstraße ,52.5,13.361944444444443
80,Kurt-Schumacher-Platz ,52.56333333333333,13.3275
81,Leinestraße ,52.47361111111111,13.428055555555554
82,Leopoldplatz ,52.546388888888885,13.359166666666667
83,Lichtenberg ,52.510555555555555,13.496388888888887
84,Lindauer Allee ,52.57527777777778,13.339166666666667
85,Lipschitzallee ,52.42472222222222,13.462777777777777
86,Louis-Lewin-Straße ,52.538888888888884,13.618333333333334
87,Magdalenenstraße ,52.5125,13.486388888888888
88,Märkisches Museum ,52.511944444444445,13.408888888888889
89,Mehringdamm ,52.49444444444445,13.38861111111111
90,Mendelssohn-Bartholdy-Park ,52.50388888888889,13.375
91,Mierendorffplatz ,52.526666666666664,13.305000000000001
92,Möckernbrücke ,52.49916666666667,13.383055555555556
93,Mohrenstraße ,52.51166666666666,13.384722222222221
94,Moritzplatz ,52.50361111111111,13.410833333333334
95,Naturkundemuseum ,52.53111111111111,13.3825
96,Nauener Platz ,52.55166666666666,13.3675
97,Neu-Westend ,52.51555555555556,13.261111111111111
98,Neukölln ,52.46944444444445,13.442222222222222
99,Nollendorfplatz ,52.49944444444444,13.35361111111111
100,Olympia-Stadion ,52.51722222222222,13.25
101,Onkel Toms Hütte ,52.45027777777778,13.253333333333334
102,Oranienburger Tor ,52.525,13.3875
103,Oskar-Helene-Heim ,52.45027777777778,13.269722222222223
104,Osloer Straße ,52.55694444444444,13.373333333333333
105,Otisstraße ,52.571111111111115,13.302777777777779
106,Pankow ,52.56666666666667,13.411111111111111
107,Pankstraße ,52.55222222222222,13.381388888888889
108,Paracelsus-Bad ,52.57416666666667,13.349166666666667
109,Paradestraße ,52.47805555555556,13.386111111111111
110,Parchimer Allee ,52.44472222222222,13.449722222222222
111,Paulsternstraße ,52.53805555555555,13.247777777777777
112,Platz der Luftbrücke ,52.48555555555556,13.385833333333332
113,Podbielskiallee ,52.46416666666667,13.295833333333333
114,Potsdamer Platz ,52.50944444444445,13.375833333333334
115,Prinzenstraße ,52.498333333333335,13.405833333333334
116,Rathaus Neukölln ,52.481944444444444,13.433055555555555
117,Rathaus Reinickendorf ,52.58833333333334,13.325833333333334
118,Rathaus Schöneberg ,52.48305555555556,13.341944444444445
119,Rathaus Spandau ,52.53527777777778,13.199722222222222
120,Rathaus Steglitz ,52.45611111111111,13.32
121,Rehberge ,52.556666666666665,13.341111111111111
122,Reinickendorfer Straße ,52.54,13.370277777777778
123,Residenzstraße ,52.571111111111115,13.360555555555555
124,Richard-Wagner-Platz ,52.51583333333333,13.307500000000001
125,Rohrdamm ,52.53722222222222,13.2625
126,Rosa-Luxemburg-Platz ,52.52833333333333,13.410277777777779
127,Rosenthaler Platz ,52.53,13.401111111111112
128,Rüdesheimer Platz ,52.473333333333336,13.314444444444446
129,Rudow ,52.41611111111111,13.495277777777776
130,Ruhleben ,52.525555555555556,13.241388888888888
131,Samariterstraße ,52.514722222222225,13.464444444444444
132,Scharnweberstraße ,52.566944444444445,13.312777777777779
133,Schillingstraße ,52.52027777777778,13.421666666666667
134,Schlesisches Tor ,52.50083333333333,13.441666666666666
135,Schloßstraße ,52.46083333333333,13.324444444444444
136,Schönhauser Allee ,52.549166666666665,13.416111111111112
137,Schönleinstraße ,52.49305555555556,13.421944444444444
138,Schwartzkopffstraße ,52.53527777777778,13.377222222222223
139,Seestraße ,52.55,13.352777777777778
140,Senefelderplatz ,52.5325,13.4125
141,Siemensdamm ,52.53666666666666,13.275555555555556
142,Sophie-Charlotte-Platz ,52.51083333333333,13.296666666666667
143,Spichernstraße ,52.49666666666667,13.331111111111111
144,Spittelmarkt ,52.51111111111111,13.403611111111111
145,Stadtmitte ,52.51222222222222,13.389444444444443
146,Strausberger Platz ,52.518055555555556,13.430833333333332
147,Südstern ,52.489444444444445,13.407777777777778
148,Tempelhof ,52.47083333333334,13.385277777777777
149,Theodor-Heuss-Platz ,52.50972222222222,13.273055555555556
150,Tierpark ,52.49638888888889,13.523333333333333
151,Turmstraße ,52.52583333333333,13.343333333333334
152,Uhlandstraße ,52.5025,13.325555555555555
153,Ullsteinstraße ,52.45388888888889,13.384444444444444
154,Viktoria-Luise-Platz ,52.49611111111111,13.342777777777778
155,Vinetastraße ,52.55916666666666,13.413333333333334
156,Voltastraße ,52.54222222222222,13.393055555555556
157,Walther-Schreiber-Platz ,52.465,13.331666666666667
158,Warschauer Straße ,52.50527777777778,13.449166666666667
159,Weberwiese ,52.516666666666666,13.445
160,Wedding ,52.5425,13.366111111111111
161,Weinmeisterstraße ,52.525555555555556,13.405000000000001
162,Westhafen ,52.53638888888889,13.34388888888889
163,Westphalweg ,52.44638888888888,13.385555555555555
164,Wilmersdorfer Straße ,52.50666666666667,13.306666666666667
165,Wittenau ,52.59583333333334,13.336666666666668
166,Wittenbergplatz ,52.50194444444445,13.343055555555557
167,Wuhletal ,52.5125,13.575
168,Wutzkyallee ,52.42333333333333,13.474722222222223
169,Yorckstraße ,52.49305555555556,13.370833333333334
170,Zitadelle ,52.53777777777778,13.217777777777778
171,Zoologischer Garten ,52.507222222222225,13.3325
172,Zwickauer Damm ,52.42333333333333,13.483888888888888
